0 -0.398326 0.0105364
1 -0.399615 0.01025
2 -0.399692 0.010233
3 -0.398152 0.0103929
4 -0.398844 0.0109123
5 -0.397791 0.0106975
6 -0.399429 0.0110642
7 -0.399975 0.0117206
8 -0.398887 0.0120048
9 -0.398398 0.01199
10 -0.39814 0.012088
11 -0.396051 0.0122527
12 -0.393817 0.0124722
13 -0.394279 0.0131186
14 -0.394508 0.0125809
15 -0.392281 0.0130538
16 -0.396528 0.0123427
17 -0.394569 0.0121174
18 -0.394233 0.0121974
19 -0.390503 0.0124491
20 -0.389434 0.0113416
21 -0.389481 0.011375
22 -0.391239 0.0110267
23 -0.39344 0.0110571
24 -0.397122 0.0109781
25 -0.396695 0.0112809
26 -0.393303 0.011209
27 -0.396234 0.0109849
28 -0.395037 0.0109259
29 -0.397125 0.0112571
